,rtrating,numofreviews,link,movietitle,year,AspectRatio,BoxOffice(GrossUSA),Director,Distributor,Genre,OriginalLanguage,Producer,Rating,ReleaseDate(Streaming),Runtime,SoundMix,Writer,MovieRuntime,ReleaseDate(Theater),ReleaseType,streamingornot,releasetype
221,100 ,59,/m/slalom,Slalom,2021,Scope(2.35:1),1100.0,Charlène Favier,Kino Lorber,Drama,French(France),Edouard Mauriat,,"Jun8,2021",1h32m,,"Charlène Favier, Marie Talon",92.0,"Apr9,2021 ",limited,1,0
222,96 ,156,/m/the_sparks_brothers,The Sparks Brothers,2021,Flat(1.85:1),623000.0,Edgar Wright,Focus Features,Documentary,English,"Nira Park, Edgar Wright, George Hencken, Laura Richardson",R,"Aug31,2021",2h15m,,,135.0,"Jun18,2021 ",wide,1,1
223,98 ,101,/m/flee,Flee,2021,,48000.0,Jonas Poher Rasmussen,N E O N/ Participant,Documentary,Danish,"Natalie Farrey, Monica Hellstrøm, Signe Byrge Sørensen, Charlottedela Gournerie",PG-13,,1h23m,,"Jonas Poher Rasmussen, Jonas Poher Rasmussen, Amin Nawabi",83.0,"Dec3,2021 ",limited,0,0
224,100 ,55,/m/parallel_mothers,Parallel Mothers Madres paralelas,2021,,,Pedro Almodóvar,Sony Pictures Classics,Drama,Spanish(Spain),"Agustín Almodóvar, Esther García",R,,2h2m,,Pedro Almodóvar,122.0,"Dec24,2021 ",limited,0,0
225,96 ,83,/m/the_tragedy_of_macbeth_2021,The Tragedy of Macbeth,2021,,,Joel Coen,A24,Drama,English,"Joel Coen, Robert Graf, Frances Mc Dormand",R,"Jan14,2022",1h45m,Dolby Digital,Joel Coen,105.0,"Dec25,2021 ",limited,1,0
226,98 ,97,/m/two_of_us,Two of Us Deux,2021,Scope(2.35:1),3000.0,Filippo Meneghetti,Magnolia Pictures,Lgbtq+,French(France),"Laurent Baujard, Pierre- Emmanuel Fleurantin",,"Feb5,2021",1h35m,,"Filippo Meneghetti, Malysone Bovorasmy",95.0,"Feb5,2021 ",limited,1,0
227,95 ,170,/m/mass_2021,Mass,2021,,145000.0,Fran Kranz,Bleecker Street,Drama,English,"Dylan Matlock, Casey Wilder Mott, J. P. Ouellette",PG-13,,1h50m,,Fran Kranz,110.0,"Oct8,2021 ",limited,0,0
228,100 ,47,/m/beyond_the_infinite_two_minutes,Beyond the Infinite Two Minutes,2021,,,Junta Yamaguchi,,Comedy,Japanese,"Kazuchika Yoshida, Takahiro Otsuki",,,1h10m,,Makoto Ueda,70.0,,,0,
229,100 ,47,/m/luzzu,Luzzu,2021,Flat(1.85:1),35900.0,Alex Camilleri,Kino Lorber,Drama,Maltese,", Ramin Bahrani, Alex Camilleri, Oliver Mallia",,"Jan14,2022",1h35m,,Alex Camilleri,95.0,"Oct15,2021 ",limited,1,0
230,99 ,69,/m/identifying_features,Identifying Features Sin Señas Particulares,2021,Scope(2.35:1),,Fernanda Valadez,Kino Lorber,Drama,Spanish,"Jack Zagha Kababie, Astrid Rondero, Fernanda Valadez, Yossy Zagha",,"Mar23,2021",1h35m,,"Astrid Rondero, Fernanda Valadez",95.0,"Jan22,2021 ",limited,1,0
231,100 ,44,/m/sabaya,Sabaya,2021,,,Hogir Hirori,,Documentary,Kurdish,"Hogir Hirori, Antonio Russo Merenda",,"Nov15,2021",1h30m,,Hogir Hirori,90.0,"Jul30,2021 ",limited,1,0
232,98 ,92,/m/julia_2021,Julia,2021,,370800.0,"Julie Cohen, Betsy West",Sony Pictures Classics,Documentary,English,"Sara Bernstein, Julie Cohen, Holly Siegel, Betsy West, Justin Wilkes",PG-13,,1h35m,,,95.0,"Nov12,2021 ",limited,0,0
233,100 ,43,/m/paper_spiders,Paper Spiders,2021,,,Inon Shampanier,Entertainment Squad,Drama,English,"Ash Christian, Anne Clements",PG,"Jun22,2021",1h50m,,Natalie Shampanier,110.0,"May7,2021 ",limited,1,0
234,100 ,42,/m/woodlands_dark_and_days_bewitched_a_history_of_folk_horror,Woodlands Dark and Days Bewitched: A History of Folk Horror,2021,,,Kier- La Janisse,,Documentary,Portuguese(Brazil),"Winnie Cheung, Kier- La Janisse",,"Oct26,2021",3h14m,,"Kier- La Janisse, Kier- La Janisse",194.0,,,1,
235,100 ,42,/m/hive,Hive,2021,,13800.0,Blerta Basholli,Zeitgeist Films,Drama,Albanian,"Valon Bajgora, Agon Uka, Yll Uka",,,1h24m,,Blerta Basholli,84.0,"Nov5,2021 ",limited,0,0
236,100 ,42,/m/the_woman_who_ran,The Woman Who Ran,2021,,,Hong Sang-soo,The Cinema Guild,Comedy,Korean,,,,1h17m,,Hong Sang-soo,77.0,"Jul9,2021 ",limited,0,0
237,100 ,41,/m/azor,Azor,2021,,53300.0,Andreas Fontana,M U B I,Mystery&thriller,French(France),"David Epiney, Eugenia Mumenthaler",,"Dec3,2021",1h40m,,Andreas Fontana,100.0,"Sep10,2021 ",limited,1,0
238,89 ,303,/m/the_green_knight,The Green Knight,2021,Flat(1.85:1),17000000.0,David Lowery,A24,Fantasy,English,"Tim Headington, Toby Halbrooks, James M. Johnston, Theresa Steele Page",R,"Aug19,2021",2h5m,Dolby Digital,David Lowery,125.0,"Jul30,2021 ",wide,1,1
239,96 ,130,/m/im_your_man_2021,I'm Your Man,2021,,274400.0,Maria Schrader,Bleecker Street,Comedy,German,Lisa Blumenberg,R,"Oct12,0201",1h45m,,"Jan Schomburg, Maria Schrader, Emma Braslavsky",105.0,"Sep24,2021 ",limited,1,0
240,96 ,125,/m/riders_of_justice,Riders of Justice,2021,,77000.0,Anders Thomas Jensen,,Mystery&thriller,Danish,"Sisse Graum Jørgensen, Sidsel Hybschmann",,"May21,2021",1h56m,,Anders Thomas Jensen,116.0,"May14,2021 ",limited,1,0
241,83 ,442,/m/dune_2021,Dune,2021,Scope(2.35:1),106900000.0,Denis Villeneuve,Warner Bros. Pictures,Sci-fi,English,"Denis Villeneuve, Mary Parent, Cale Boyter, Joseph Caracciolo Jr.",PG-13,"Oct22,2021",2h35m,"Dolby Atmos, Dolby Digital","Jon Spaihts, Denis Villeneuve, Eric Roth",155.0,"Oct22,2021 ",wide,1,1
242,91 ,243,/m/king_richard,King Richard,2021,Scope(2.35:1),14700000.0,Reinaldo Marcus Green,Warner Bros. Pictures,Biography,English,"Tim White, Trevor White, Will Smith",PG-13,"Nov19,2021",2h26m,Dolby Digital,Zach Baylin,146.0,"Nov19,2021 ",wide,1,1
243,97 ,90,/m/i_carry_you_with_me,I Carry You with Me,2021,,166000.0,Heidi Ewing,Sony Pictures Classics,Lgbtq+,Spanish,"Edher Campos, Heidi Ewing, Mynette Louie, Gabriela Maire",R,"Sep21,2021",1h51m,,Heidi Ewing,111.0,"Jun25,2021 ",limited,1,0
244,97 ,87,/m/language_lessons,Language Lessons,2021,,73300.0,Natalie Morales,S H O U T! S T U D I O S,Comedy,English,Mel Eslyn,,"Oct25,2021",1h31m,,"Mark Duplass, Natalie Morales",91.0,"Sep10,2021 ",limited,1,0
245,98 ,61,/m/the_paper_tigers,The Paper Tigers,2021,,112700.0,Quoc Bao Tran,Well Go U S A Entertainment,Sports&fitness,English,"Michael Velasquez, Yuji Okumoto, Al'n Duong, Dan Gildark, Quoc Bao Tran",PG-13,"May7,2021",1h48m,Dolby Digital,Quoc Bao Tran,108.0,"May7,2021 ",limited,1,0
246,94 ,155,/m/cmon_cmon,C'mon C'mon,2021,,1500000.0,Mike Mills,A24,Drama,English,"Andrea Longacre- White, Lila Yacoub, Chelsea Barnard",R,"Dec23,2021",1h48m,Dolby Digital,Mike Mills,108.0,"Nov19,2021 ",limited,1,0
247,98 ,55,/m/wheel_of_fortune_and_fantasy,Wheel of Fortune and Fantasy,2021,,,Ryûsuke Hamaguchi,Film Movement,Drama,Japanese,", Satoshi Takata",,,2h1m,,Ryûsuke Hamaguchi,121.0,"Oct15,2021 ",limited,0,0
248,98 ,53,/m/becoming_cousteau,Becoming Cousteau Cousteau,2021,Flat(1.85:1),230500.0,Liz Garbus,Picturehouse,Documentary,English,"Mridu Chandra, Dan Cogan, Liz Garbus, Evan Hayes",PG-13,"Nov24,2021",1h33m,Dolby Digital,"Mark Monroe, Pax Wassermann, Mark Monroe, Pax Wassermann",93.0,"Oct22,2021 ",limited,1,0
249,84 ,394,/m/no_time_to_die_2021,No Time To Die,2021,Scope(2.35:1),160500000.0,Cary Joji Fukunaga,Metro- Goldwyn- Mayer,Mystery&thriller,English,"Michael G. Wilson, Barbara Broccoli",PG-13,"Nov9,2021",2h43m,"Dolby Digital, Dolby Atmos","Neal Purvis, Robert Wade, Cary Joji Fukunaga, Phoebe Waller- Bridge, Scott Z. Burns",163.0,"Oct8,2021 ",wide,1,1
